G1 X: 0, Y: 0, Z: 15.0, E: 3
G1 X: 178, Y: 158.3, Z: 0.75, E: 153.06339
G1 X: 178, Y: 197.7, Z: 0.75, E: 154.29862
G1 X: 179, Y: 197.7, Z: 0.75, E: 154.32997
G1 X: 179, Y: 158.3, Z: 0.75, E: 155.56519
G1 X: 180, Y: 158.3, Z: 0.75, E: 155.59654
G1 X: 180, Y: 197.7, Z: 0.75, E: 156.83177
G1 X: 181, Y: 197.7, Z: 0.75, E: 156.86312
G1 X: 181, Y: 158.3, Z: 0.75, E: 158.09835
G1 X: 182, Y: 158.3, Z: 0.75, E: 158.1297
G1 X: 182, Y: 197.7, Z: 0.75, E: 159.36493
G1 X: 183, Y: 197.7, Z: 0.75, E: 159.39628
G1 X: 183, Y: 158.3, Z: 0.75, E: 160.6315
G1 X: 184, Y: 158.3, Z: 0.75, E: 160.66285
G1 X: 184, Y: 197.7, Z: 0.75, E: 161.89808
G1 X: 185, Y: 197.7, Z: 0.75, E: 161.92943
G1 X: 185, Y: 158.3, Z: 0.75, E: 163.16466
G1 X: 186, Y: 158.3, Z: 0.75, E: 163.19601
G1 X: 186, Y: 197.7, Z: 0.75, E: 164.43124
G1 X: 187, Y: 197.7, Z: 0.75, E: 164.46259
G1 X: 187, Y: 158.3, Z: 0.75, E: 165.69781
G1 X: 188, Y: 158.3, Z: 0.75, E: 165.72916
G1 X: 188, Y: 197.7, Z: 0.75, E: 166.96439
G1 X: 189, Y: 197.7, Z: 0.75, E: 166.99574
G1 X: 189, Y: 158.3, Z: 0.75, E: 168.23097
G1 X: 190, Y: 158.3, Z: 0.75, E: 168.26232
G1 X: 190, Y: 197.7, Z: 0.75, E: 169.49755
